Frage,Richtige,Antwort1,Antwort2,Antwort3
Welcher Planet ist nach dem römischen Göttervater benannt?,Jupiter,Mars,Neptun,Saturn
Was ist die Hauptstadt von Luxemburg?,Luxemburg,Esch-sur-Alzette,Differdange,Dudelange
Wie viele Planeten sind nach weiblichen Gottheiten benannt?,1,2,0,3
Was ist die Hauptstadt von Liechtenstein?,Vaduz,Schellenberg,Mauren,Triesen
Welcher Planet ist nach dem römischen Gott des Handels benannt?,Merkur,Venus,Mars,Jupiter
Was ist die Hauptstadt von Andorra?,Andorra la Vella,Encamp,Escaldes-Engordany,Sant Julià de Lòria
Wie viele Planeten haben eine höhere Dichte als Wasser?,8,7,6,9
Was ist die Hauptstadt von Monaco?,Monaco-Ville,Monte-Carlo,La Condamine,Fontvieille
Welcher Planet ist nach dem römischen Gott der Unterwelt benannt?,Pluto,Saturn,Neptun,Jupiter
Was ist die Hauptstadt von San Marino?,San Marino,Borgo Maggiore,Serravalle,Domagnano
Wie viele Planeten haben eine exzentrische Umlaufbahn?,1,2,0,3
Was ist die Hauptstadt des Vatikans?,Vatikanstadt,-,-,-
Welcher Planet hat die meisten bekannten Monde?,Jupiter,Saturn,Uranus,Neptun
Was ist die Hauptstadt von Kasachstan?,Nur-Sultan,Almaty,Schymkent,Qaraghandy
Wie viele Planeten haben eine retrograde Rotation?,1,2,0,3
Was ist die Hauptstadt von Usbekistan?,Taschkent,Samarqand,Andijon,Namangan
Welcher Planet hat die kürzeste Rotationsperiode?,Jupiter,Saturn,Uranus,Neptun
Was ist die Hauptstadt von Turkmenistan?,Aşgabat,Türkmenabat,Daşoguz,Mary
Wie viele Planeten haben eine sichtbare Oberfläche?,4,3,5,6
Was ist die Hauptstadt von Kirgisistan?,Bischkek,Osch,Dschalalabat,Karakol
Welcher Planet hat die längste Rotationsperiode?,Venus,Merkur,Mars,Jupiter
Was ist die Hauptstadt von Tadschikistan?,Duschanbe,Chudschand,Kulob,Chorugh
Wie viele Planeten haben eine magnetische Sphäre?,8,7,6,9
Was ist die Hauptstadt von Armenien?,Jerewan,Gjumri,Vanadsor,Wagharschapat
Welcher Planet hat die stärkste Magnetosphäre?,Jupiter,Saturn,Uranus,Neptun
Was ist die Hauptstadt von Aserbaidschan?,Baku,Ganja,Sumqayıt,Lənkəran
Wie viele Planeten haben eine höhere Albedo als die Erde?,4,3,5,6
Was ist die Hauptstadt von Georgien?,Tiflis,Kutaissi,Batumi,Rustawi
Welcher Planet hat die niedrigste Albedo?,Merkur,Venus,Mars,Jupiter
Was ist die Hauptstadt von Afghanistan?,Kabul,Kandahar,Herat,Masar-i-Scharif
Wie viele Planeten haben eine höhere Schwerkraft als die Erde?,2,1,3,4
Was ist die Hauptstadt von Pakistan?,Islamabad,Karachi,Lahore,Peschawar
Welcher Planet hat die schwächste Schwerkraft?,Merkur,Mars,Venus,Pluto
Was ist die Hauptstadt von Bangladesch?,Dhaka,Chittagong,Khulna,Rajshahi
Wie viele Planeten haben eine höhere Fluchtgeschwindigkeit als die Erde?,2,1,3,4
Was ist die Hauptstadt von Sri Lanka?,Sri Jayawardenepura,Colombo,Kandy,Galle
Welcher Planet hat die höchste Fluchtgeschwindigkeit?,Jupiter,Saturn,Uranus,Neptun
Was ist die Hauptstadt von Nepal?,Kathmandu,Pokhara,Biratnagar,Lalitpur
Wie viele Planeten haben eine höhere Oberflächentemperatur als die Erde?,2,1,3,4
Was ist die Hauptstadt von Bhutan?,Thimphu,Phuntsholing,Punakha,Paro
Welcher Planet hat die höchste Oberflächentemperatur?,Venus,Merkur,Mars,Jupiter
Was ist die Hauptstadt der Malediven?,Malé,Addu,Fuvahmulah,Kulhudhuffushi
Wie viele Planeten haben eine höhere Neigung der Rotationsachse als die Erde?,4,3,5,6
Was ist die Hauptstadt von Indonesien?,Jakarta,Surabaya,Bandung,Medan
Welcher Planet hat die stärkste Achsenneigung?,Uranus,Venus,Mars,Neptun
Was ist die Hauptstadt von Osttimor?,Dili,Baucau,Maliana,Suai
Wie viele Planeten haben Jahreszeiten?,8,7,6,9
Welcher Planet hat die ausgeprägtesten Jahreszeiten?,Mars,Venus,Merkur,Jupiter
Was ist die Hauptstadt von Brunei?,Bandar Seri Begawan,Kuala Belait,Seria,Tutong
Wie viele Planeten haben Polarkappen?,3,2,4,5
Was ist die Hauptstadt von Malaysia?,Kuala Lumpur,Putrajaya,George Town,Johor Bahru
Welcher Planet hat die größten Polarkappen?,Mars,Venus,Erde,Jupiter
Was ist die Hauptstadt der Philippinen?,Manila,Cebu City,Davao City,Quezon City
Wie viele Planeten haben eine höhere Windgeschwindigkeit als die Erde?,4,3,5,6
Was ist die Hauptstadt von Vietnam?,Hanoi,Ho-Chi-Minh-Stadt,Da Nang,Hai Phong
Welcher Planet hat die stärksten Winde?,Neptun,Jupiter,Saturn,Uranus
